"Code","Heading","V2.1"
"JNKF","Schools inspection (& preparing for inspection)",
"JNKG","Funding of education & student finance",
"JNKH","Teaching staff",
"JNKH1","Teacher assessment",
"JNKN","Non-teaching & support staff",
"JNKP","School/community relations & school/home relations",
"JNKR","School governors & school boards",
"JNKS","Students & student organisations",
"JNL","Schools",
"JNLA","Pre-school & kindergarten",
"JNLB","Primary & middle schools",
"JNLC","Secondary schools",
"JNLP","Independent schools, private education",
"JNLR","Faith (religious) schools",
"JNM","Higher & further education, tertiary education",
"JNMF","Colleges of further education",
"JNMH","Colleges of higher education",
"JNMN","Universities",
"JNMT","Teacher training",
"JNP","Adult education, continuous learning",
"JNQ","Open learning, home learning, distance education",
"JNR","Careers guidance",
"JNRV","Industrial or vocational training",
"JNS","Teaching of specific groups & persons with special educational needs",
"JNSC","Teaching of physically disabled students",
"JNSC1","Teaching of hearing-impaired students",
"JNSC2","Teaching of visually impaired students",
"JNSG","Teaching of students with specific learning difficulties / needs",
"JNSG1","Teaching of dyslexic students",
"JNSG2","Teaching of autistic students",
"JNSL","Teaching of students with emotional & behavioural difficulties",
"JNSP","Teaching of gifted students",
"JNSV","Teaching of students with English as a second language (TESOL)",
"JNT","Teaching skills & techniques",
"JNU","Teaching of a specific subject",
"JNUM","Teachers' classroom resources & material",
"JNV","Educational equipment & technology, computer-aided learning (CAL)",
"JNW","Extra-curricular activities",
"JNWT","Educational visits & field trips",
"JNZ","Study & learning skills: general",
"JP","Politics & government",
"JPA","Political science & theory",
"JPB","Comparative politics",
"JPF","Political ideologies",
"JPFB","Anarchism",
"JPFC","Marxism & Communism",
"JPFF","Socialism & left-of-centre democratic ideologies",
"JPFK","Liberalism & centre democratic ideologies",
"JPFM","Conservatism & right-of-centre democratic ideologies",
"JPFN","Nationalism",
"JPFQ","Fascism & Nazism",
"JPFR","Religious & theocratic ideologies",
"JPH","Political structure & processes",
"JPHC","Constitution: government & the state",
"JPHF","Elections & referenda",
"JPHL","Political leaders & leadership",
"JPHV","Political structures: democracy",
"JPHX","Political structures: totalitarianism & dictatorship",
"JPL","Political parties",
"JPLM","Political manifestos",
"JPP","Public administration",
"JPQ","Central government",
"JPQB","Central government policies",
"JPR","Regional government",
"JPRB","Regional government policies",
"JPS","International relations",
"JPSD","Diplomacy",
"JPSF","Arms negotiation & control",
"JPSH","Espionage & secret services",
"JPSL","Geopolitics",
"JPSN","International institutions",
"JPSN1","United Nations & UN agencies",
"JPSN2","EU & European institutions",
"JPV","Political control & freedoms",
"JPVH","Human rights",
"JPVH1","Civil rights & citizenship",
"JPVH2","Freedom of information & freedom of speech",
"JPVH3","Land rights",
"JPVH4","Religious freedom / freedom of worship",
"JPVK","Public opinion & polls",
"JPVL","Political campaigning & advertising",
"JPVN","Propaganda",
"JPVR","Political oppression & persecution",
"JPW","Political activism",
"JPWD","Pressure groups & lobbying",
"JPWF","Demonstrations & protest movements",
"JPWH","Non-governmental organizations (NGOs)",
"JPWJ","Political subversion",
"JPWL","Terrorism, armed struggle",
"JPWL1","Political assassinations",
"JPWL2","Terrorist attack",
"JPWQ","Revolutionary groups & movements",
"JPWS","Armed conflict",
"JPZ","Political corruption",
"JW","Warfare & defence",
"JWA","Theory of warfare & military science",
"JWD","Land forces & warfare",
"JWDG","Irregular or guerrilla forces & warfare",
"JWF","Naval forces & warfare",
"JWG","Air forces & warfare",
"JWH","Special & elite forces",
"JWJ","Military administration",
"JWK","Defence strategy, planning & research",
"JWKF","Military intelligence",
"JWKT","Military tactics",
"JWKW","Civil defence",
"JWL","War & defence operations",
"JWLF","Battles & campaigns",
"JWLP","Peacekeeping operations",
"JWM","Weapons & equipment",
"JWMC","Chemical & biological weapons",
"JWMN","Nuclear weapons",
"JWMV","Military vehicles",
"JWMV1","Tanks & military land vehicles",
"JWMV2","Military & naval ships",
"JWMV3","Military aircraft",
"JWT","Military life & institutions",
"JWTR","Regiments",
"JWTU","Uniforms & insignia",
"JWTY","Memorials & rolls of honour",
"JWX","Other warfare & defence issues",
"JWXF","Arms trade",
"JWXK","War crimes",
"JWXN","Mercenaries",
"JWXR","Prisoners of war",
"JWXT","Mutiny",
"JWXV","Military veterans",
"JWXZ","Combat / defence skills & manuals",
"K","Economics, finance, business & management",
"KC","Economics",
"KCA","Economic theory & philosophy",
"KCB","Macroeconomics",
"KCBM","Monetary economics",
"KCC","Microeconomics",
"KCCD","Domestic trade",
"KCD","Economics of industrial organisation",
"KCF","Labour economics",
"KCFM","Employment & unemployment",
"KCG","Economic growth",
"KCH","Econometrics",
"KCHS","Economic statistics",
"KCJ","Economic forecasting",
"KCK","Behavioural economics",
"KCL","International economics",
"KCLF","International finance",
"KCLT","International trade",
"KCLT1","Trade agreements",
"KCM","Development economics & emerging economies","Mod"
"KCN","Environmental economics",
"KCP","Political economy",
"KCQ","Health economics",
"KCR","Welfare economics",
"KCS","Economic systems & structures",
"KCT","Agricultural economics","New"
"KCU","Urban economics",
"KCX","Economic & financial crises & disasters","Mod"
"KCY","Popular economics","New"
"KCZ","Economic history",
"KF","Finance & accounting",
"KFC","Accounting",
"KFCC","Cost accounting",
"KFCF","Financial accounting",
"KFCM","Management accounting & bookkeeping",
"KFCP","Public finance accounting",
"KFCR","Financial reporting, financial statements",
"KFCX","Accounting: study & revision guides",
"KFF","Finance",
"KFFD","Public finance",
"KFFD1","Taxation",
"KFFH","Corporate finance",
"KFFK","Banking",
"KFFL","Credit & credit institutions",
"KFFM","Investment & securities",
"KFFM1","Commodities",
"KFFM2","Stocks & shares",
"KFFN","Insurance & actuarial studies",
"KFFP","Pensions",
"KFFR","Property & real estate",
"KFFX","Banking & finance: study & revision guides",
"KJ","Business & management",
"KJB","Business studies: general",
"KJBX","Business & management: study & revision guides",
"KJC","Business strategy",
"KJD","Business innovation",
"KJE","E-commerce: business aspects",
"KJF","Business competition",
"KJG","Business ethics & social responsibility","Mod"
"KJH","Entrepreneurship",
"KJJ","Business & the environment, ‘Green’ approaches to business","New"
"KJK","International business",
"KJL","Consultancy & grants for businesses",
"KJM","Management & management techniques",
"KJMB","Management: leadership & motivation",
"KJMD","Management decision making",
"KJMP","Project management",
"KJMQ","Quality Assurance (QA) & Total Quality Management (TQM)",
"KJMT","Time management",
"KJMV","Management of specific areas",
"KJMV1","Budgeting & financial management",
"KJMV2","Personnel & human resources management",
"KJMV3","Knowledge management",
"KJMV4","Management of real estate, property & plant",
"KJMV5","Production & quality control management",
"KJMV6","Research & development management",
"KJMV7","Sales & marketing management",
"KJMV8","Purchasing & supply management",
"KJMV9","Distribution & warehousing management",
"KJN","Business negotiation",
"KJP","Business communication & presentation",
"KJQ","Business mathematics & systems",
"KJR","Corporate governance","Mod"
"KJRD","Boards & directors: role & responsibilities",
"KJRS","Company secretary: role & responsibilities",
"KJS","Sales & marketing",
"KJSA","Advertising",
"KJSM","Market research",
"KJSP","Public relations",
"KJSU","Customer services",
"KJT","Operational research",
"KJU","Organizational theory & behaviour",
"KJV","Ownership & organization of enterprises",
"KJVB","Takeovers, mergers & buy-outs",
"KJVD","Privatization",
"KJVF","Franchises",
"KJVG","Multinationals",
"KJVN","Public ownership / nationalization",
"KJVP","Monopolies",
"KJVS","Small businesses & self-employed",
"KJVT","Outsourcing","New"
"KJVV","Joint ventures",
"KJVW","Employee-ownership & co-operatives",
"KJVX","Non-profitmaking organizations",
"KJW","Office & workplace",
"KJWB","Office management",
"KJWF","Office systems & equipment",
"KJWS","Secretarial, clerical & office skills",
"KJWX","Working patterns & practices",
"KJZ","History of specific companies / corporate history","New"
"KN","Industry & industrial studies",
"KNA","Primary industries",
"KNAC","Agriculture & related industries",
"KNAF","Fisheries & related industries",
"KNAL","Forestry & related industries",
"KNAT","Mining industry",
"KNB","Energy industries & utilities",
"KNBC","Coal & solid fuel industries",
"KNBG","Gas industries",
"KNBL","Electrical power industries",
"KNBN","Nuclear power industries",
"KNBP","Petroleum & oil industries",
"KNBT","Alternative & renewable energy industries",
"KNBW","Water industries",
"KND","Manufacturing industries",
"KNDC","Chemical industries",
"KNDD","Textile industries",
"KNDF","Food manufacturing & related industries",
"KNDF1","Tobacco industry",
"KNDH","Hi-tech manufacturing industries",
"KNDH1","Biotechnology industries",
"KNDM","Armaments industries",
"KNDP","Pharmaceutical industries",
"KNDR","Road vehicle manufacturing industry",
"KNDS","Shipbuilding industry",
"KNDV","Aviation manufacturing industry",
"KNG","Transport industries",
"KNGR","Road transport industries",
"KNGS","Shipping industries",
"KNGT","Railway transport industries",
"KNGV","Aerospace & air transport industries",
"KNGV1","Airports",
"KNJ","Construction & heavy industry",
"KNJC","Construction industry",
"KNJH","Iron, steel & metals industries",
"KNP","Distributive industries",
"KNPR","Retail sector",
"KNPW","Wholesale sector",
"KNS","Service industries",
"KNSG","Tourism industry",
"KNSH","Hospitality industry",
"KNSJ","Events management industries","New"
"KNSP","Sport & leisure industries",
"KNSS","Security services",
"KNSS1","Surveillance services",
"KNST","Financial services industry",
"KNSX","Fashion & beauty industries",
"KNSZ","Funeral services","New"
"KNT","Media, information & communication industries",
"KNTC","Cinema industry",
"KNTD","Radio & television industry",
"KNTF","Music industry",
"KNTJ","Press & journalism",
"KNTP","Publishing industry & book trade","Mod"
"KNTR","Printing, packaging & reprographic industry",
"KNTT","Postal & telecommunications industries",
"KNTX","Information technology industries",
"KNTX1","Internet & WWW industries",
"KNTY","Advertising industry",
"KNV","Civil service & public sector",
"KNX","Industrial relations, health & safety","Mod"
"KNXB","Industrial relations",
"KNXB1","Strikes",
"KNXB2","Trade unions",
"KNXB3","Industrial arbitration & negotiation",
"KNXC","Health & safety issues","Mod"
"L","Law",
"LA","Jurisprudence & general issues",
"LAB","Jurisprudence & philosophy of law",
"LAF","Systems of law",
"LAFC","Common law",
"LAFD","Civil codes / Civil law",
"LAFR","Roman law",
"LAFS","Islamic law",
"LAFX","Ecclesiastical (canon) law",
"LAM","Comparative law",
"LAQ","Law & society",
"LAQG","Gender & the law",
"LAR","Criminology: legal aspects",
"LAS","Legal skills & practice",
"LASD","Advocacy",
"LASP","Paralegals & paralegalism",
"LAT","Legal profession: general",
"LATC","Legal ethics & professional conduct",
"LAY","Law as it applies to other professions",
"LAZ","Legal history",
"LB","International law",
"LBB","Public international law",
"LBBC","Treaties & other sources of international law",
"LBBC1","Customary law",
"LBBD","Diplomatic law",
"LBBF","Jurisdiction & immunities",
"LBBJ","International law of territory & statehood",
"LBBK","Law of the sea",
"LBBM","International economic & trade law",
"LBBM1","Tariffs",
"LBBM3","Investment treaties & disputes",
"LBBP","International environmental law",
"LBBR","International human rights law",
"LBBS","International humanitarian law",
"LBBU","International organisations & institutions",
"LBBV","Responsibility of states & other entities",
"LBBZ","International criminal law",
"LBD","International law of transport, communications & commerce",
"LBDA","International space & aerospace law",
"LBDK","Transnational commercial law",
"LBDM","International maritime law",
"LBDT","International communications & telecommunications law",
"LBG","Private international law & conflict of laws",
"LBH","Settlement of international disputes",
"LBHG","International courts & procedures",
"LBHT","International arbitration",
"LBL","International law reports",
"LN","Laws of Specific jurisdictions",
"LNA","Legal system: general",
"LNAA","Courts & procedure",
"LNAA1","Judicial powers",
"LNAA2","Legal system: law of contempt",
"LNAC","Civil procedure, litigation & dispute resolution",
"LNAC1","Civil remedies",
"LNAC12","Restitution",
"LNAC14","Damages & compensation",
"LNAC16","Injunctions & other orders",
"LNAC3","Civil procedure: law of evidence",
"LNAC5","Arbitration, mediation & alternative dispute resolution",
"LNAF","Legal system: costs & funding",
"LNAL","Regulation of legal profession",
"LNB","Private / Civil law: general works",
"LNC","Company, commercial & competition law",
"LNCB","Commercial law",
"LNCB1","Franchising law",
"LNCB2","E-commerce law",
"LNCB3","Sale of goods law",
"LNCB4","Outsourcing law",
"LNCB5","Shipping law",
"LNCB6","Aviation law",
"LNCD","Company law",
"LNCD1","Mergers & acquisitions law",
"LNCF","Partnership law",
"LNCH","Competition law / Antitrust law",
"LNCJ","Contract law",
"LNCL","Agency law",
"LNCN","Procurement law",
"LNCQ","Construction & engineering law",
"LNCR","Energy & natural resources law",
"LND","Constitutional & administrative law",
"LNDA","Citizenship & nationality law",
"LNDA1","Immigration law",
"LNDA3","Asylum law",
"LNDC","Human rights & civil liberties law",
"LNDC2","Privacy law",
"LNDC4","Freedom of expression law",
"LNDF","Freedom of information law",
"LNDH","Government powers",
"LNDK","Military & defence law",
"LNDM","Judicial review",
"LNDP","Parliamentary & legislative practice",
"LNDS","Election law",
"LNDU","Local government law",
"LNF","Criminal law & procedure",
"LNFB","Criminal justice law",
"LNFG","Offences against the government",
"LNFJ","Offences against the person",
"LNFJ1","Harassment law",
"LNFL","Offences against property",
"LNFN","Fraud",
"LNFQ","Juvenile criminal law",
"LNFR","Offences against public health, safety, order",
"LNFT","Road traffic law, motoring offences",
"LNFV","Terrorism law",
"LNFX","Criminal procedure",
"LNFX1","Sentencing & punishment",
"LNFX3","Criminal procedure: law of evidence",
"LNFX5","Police law & police procedures","Mod"
"LNH","Employment & labour law",
"LNHD","Discrimination in employment law",
"LNHH","Occupational health & safety law",
"LNHR","Industrial relations & trade unions law",
"LNHU","Employment contracts",
"LNJ","Entertainment & media law",
"LNJD","Defamation law (slander & libel)",
"LNJS","Sport & the law",
"LNJX","Advertising, marketing & sponsorship law",
"LNK","Environment, transport & planning law",
"LNKF","Agricultural law",
"LNKG","Animal law",
"LNKJ","Environment law",
"LNKN","Nature Conservation law",
"LNKT","Transport law",
"LNKV","Highways",
"LNKW","Planning law",
"LNL","Equity & trusts",
"LNM","Family law",
"LNMB","Family law: marriage & divorce",
"LNMC","Family law: cohabitation",
"LNMF","Family law: same-sex partnership",
"LNMK","Family law: children",
"LNP","Financial law",
"LNPA","Accounting law",
"LNPB","Banking law",
"LNPC","Bankruptcy & insolvency",
"LNPD","Capital markets & securities law & regulation",
"LNPF","Financial services law & regulation",
"LNPN","Insurance law",
"LNPP","Pensions law",
"LNQ","IT & Communications law",
"LNQD","Data protection law",
"LNR","Intellectual property law",
"LNRC","Copyright law",
"LNRD","Patents law",
"LNRF","Trademarks law",
"LNRL","Designs law",
"LNRV","Confidential information law",
"LNS","Property law",
"LNSH","Land & real estate law",
"LNSH1","Ownership & mortgage law",
"LNSH3","Landlord & tenant law",
"LNSH5","Conveyancing law",
"LNSH7","Rating & valuation law",
"LNSH9","Housing law",
"LNSP","Personal property law",
"LNT","Social law",
"LNTC","Charity law",
"LNTD","Education & the law",
"LNTH","Social security & welfare law",
"LNTH1","Social insurance law",
"LNTJ","Public health & safety law",
"LNTM","Medical & healthcare law",
"LNTM1","Mental health law",
"LNTM2","Regulation of medicines & medical devices",
"LNTQ","Disability & the law",
"LNTS","Law & the elderly",
"LNTU","Consumer protection law",
"LNTX","Licensing, gaming & club law",
"LNU","Taxation & duties law",
"LNUC","Corporate tax",
"LNUP","Personal tax",
"LNUS","Sales tax  & Customs duties",
"LNUT","Trusts & estates taxation",
"LNV","Torts / Delicts",
"LNVC","Negligence",
"LNVF","Nuisance",
"LNVJ","Personal injury",
"LNW","Wills & probate / Succession",
"LNZ","Primary sources of law",
"LNZC","Case law",
"LNZL","Legislation",
"LR","Law: study & revision guides",
"M","Medicine",
"MB","Medicine: general issues",
"MBD","Medical profession",
"MBDC","Medical ethics & professional conduct",
"MBDP","Doctor/patient relationship",
"MBF","Medical bioinformatics","New"
"MBG","Medical equipment & techniques",
"MBGL","Medical laboratory testing & techniques",
"MBGR","Medical research",
"MBGR1","Clinical trials",
"MBGT","Telemedicine",
"MBN","Public health & preventive medicine",
"MBNC","Medical screening",
"MBNH","Personal & public health",
"MBNH1","Hygiene",
"MBNH2","Environmental factors",
"MBNH3","Dietetics & nutrition",
"MBNH4","Birth control, contraception, family planning",
"MBNH9","Health psychology",
"MBNS","Epidemiology & medical statistics",
"MBP","Health systems & services",
"MBPC","General practice",
"MBPK","Mental health services",
"MBPM","Medical administration & management",
"MBPR","Medical insurance",
"MBQ","Medicolegal issues",
"MBS","Medical sociology",
"MBX","History of medicine",
"MF","Pre-clinical medicine: basic sciences",
"MFC","Anatomy",
"MFCC","Cytology",
"MFCH","Histology",
"MFCR","Regional anatomy",
"MFCX","Dissection",
"MFG","Physiology",
"MFGC","Cellular physiology",
"MFGG","Regional physiology",
"MFGM","Metabolism",
"MFGV","Biomechanics, human kinetics",
"MFK","Human reproduction, growth & development",
"MFKC","Reproductive medicine",
"MFKC1","Infertility & fertilization",
"MFKC3","Embryology",
"MFKH","Human growth & development",
"MFKH3","Maturation & ageing",
"MFN","Medical genetics",
"MJ","Clinical & internal medicine",
"MJA","Medical diagnosis",
"MJAD","Examination of patients",
"MJC","Diseases & disorders",
"MJCG","Congenital diseases & disorders",
"MJCG1","Hereditary diseases & disorders",
"MJCJ","Infectious & contagious diseases",
"MJCJ1","Venereal diseases",
"MJCJ2","HIV / AIDS",
"MJCJ3","Hospital infections",
"MJCL","Oncology",
"MJCL1","Radiotherapy",
"MJCL2","Chemotherapy",
"MJCM","Immunology",
"MJCM1","Allergies",
"MJD","Cardiovascular medicine",
"MJE","Musculoskeletal medicine",
"MJF","Haematology",
"MJG","Endocrinology",
"MJGD","Diabetes",
"MJH","Gastroenterology",
"MJJ","Hepatology",
"MJK","Dermatology",
"MJL","Respiratory medicine",
"MJM","Rheumatology",
"MJN","Neurology & clinical neurophysiology",
"MJNA","Autism & Asperger’s Syndrome","New"
"MJND","Alzheimer’s & dementia","New"
"MJP","Otorhinolaryngology (ENT)",
"MJPD","Audiology & otology",
"MJQ","Ophthalmology",
"MJR","Renal medicine & nephrology",
"MJRD","Haemodialysis",
"MJS","Urology & urogenital medicine",
"MJT","Gynaecology & obstetrics",
"MJTF","Materno-fetal medicine",
"MJW","Paediatric medicine",
"MJWN","Neonatal medicine",
"MJX","Geriatric medicine",
"MJZ","Gene therapy",
"MM","Other branches of medicine",
"MMB","Anaesthetics",
"MMBP","Pain & pain management",
"MMC","Palliative medicine",
"MMD","Dentistry",
"MMDS","Oral & maxillofacial surgery",
"MMF","Pathology",
"MMFC","Cytopathology",
"MMFH","Histopathology",
"MMFM","Medical microbiology & virology",
"MMFP","Medical parasitology",
"MMG","Pharmacology",
"MMGT","Medical toxicology",
"MMGW","Psychopharmacology",
"MMH","Psychiatry",
"MMJ","Clinical psychology",
"MMJT","Psychotherapy",
"MMJT1","Cognitive behavioural therapy","New"
"MMK","Accident & emergency medicine",
"MMKB","Trauma & shock",
"MMKD","Burns",
"MMKL","Intensive care medicine",
"MMN","Nuclear medicine",
"MMP","Medical imaging",
"MMPF","Ultrasonics",
"MMPG","Nuclear magnetic resonance (NMR / MRI)",
"MMPH","Radiology",
"MMPJ","Tomography",
"MMQ","Forensic medicine",
"MMR","Environmental medicine",
"MMRB","Aviation & space medicine",
"MMRD","Diving & hyperbaric medicine",
"MMRP","Occupational medicine",
"MMRT","Tropical medicine",
"MMS","Sports injuries & medicine",
"MMZ","Therapy & therapeutics",
"MMZD","Eating disorders & therapy",
"MMZF","Obesity: treatment & therapy",
"MMZL","Speech & language disorders & therapy",
"MMZR","Addiction & therapy",
"MMZS","Sleep disorders & therapy",
"MN","Surgery",
"MNB","Surgical techniques",
"MNC","General surgery",
"MNG","Gastrointestinal & colorectal surgery",
"MNH","Cardiothoracic surgery",
"MNJ","Vascular surgery",
"MNK","Surgical oncology",
"MNL","Critical care surgery",
"MNN","Neurosurgery",
"MNP","Plastic & reconstructive surgery",
"MNPC","Cosmetic surgery",
"MNQ","Transplant surgery",
"MNS","Orthopaedics & fractures",
"MNZ","Peri-operative care",
"MQ","Nursing & ancillary services",
"MQC","Nursing",
"MQCA","Nursing fundamentals & skills",
"MQCB","Nursing research & theory",
"MQCH","Nurse/patient relationship",
"MQCL","Nursing specialties",
"MQCL1","Accident & emergency nursing",
"MQCL2","Intensive care nursing",
"MQCL3","Paediatric nursing",
"MQCL4","Geriatric nursing",
"MQCL5","Psychiatric nursing",
"MQCL6","Surgical nursing",
"MQCL9","Terminal care nursing",
"MQCM","Nursing pharmacology",
"MQCW","Nursing sociology",
"MQCX","Community nursing",
"MQCZ","Nursing management & leadership",
"MQD","Midwifery",
"MQDB","Birthing methods",
"MQF","First aid & paramedical services",
"MQH","Radiography",
"MQK","Chiropody & podiatry",
"MQP","Pharmacy / dispensing",
"MQR","Optometry / opticians",
"MQS","Physiotherapy",
"MQT","Occupational therapy",
"MQTC","Creative therapy (eg art, music, drama)",
"MQU","Medical counselling",
"MQV","Rehabilitation",
"MQVB","Rehabilitation: brain & spinal injuries",
"MQW","Biomedical engineering",
"MQWB","Orthotics",
"MQWP","Prosthetics",
"MQZ","Mortuary practice",
"MR","Medical study & revision guides & reference material",
"MRG","Medical study & revision guides",
"MRGD","Medical revision aids: MRCP",
"MRGK","Medical revision aids: MRCS",
"MRGL","Medical revision aids: PLAB",
"MRT","Medical charts, colour atlases",
"MX","Complementary medicine",
"MXH","Chiropractic & osteopathy",
"MZ","Veterinary medicine",
"MZC","Veterinary medicine: small animals (pets)",
"MZD","Veterinary medicine: large animals (domestic / farm)",
"MZDH","Equine veterinary medicine",
"MZF","Veterinary medicine: laboratory animals",
"MZG","Veterinary medicine: exotic & zoo animals",
"MZH","Veterinary anatomy & physiology",
"MZK","Veterinary pathology & histology",
"MZL","Veterinary nutrition",
"MZM","Veterinary medicine: infectious diseases & therapeutics",
"MZMP","Veterinary bacteriology, virology, parasitology",
"MZP","Veterinary pharmacology",
"MZR","Veterinary radiology",
"MZS","Veterinary surgery",
"MZSN","Veterinary anaesthetics",
"MZT","Veterinary dentistry",
"MZV","Veterinary nursing",
"MZX","Complementary medicine for animals",
"P","Mathematics & science",
"PB","Mathematics",
"PBB","Philosophy of mathematics",
"PBC","Mathematical foundations",
"PBCD","Mathematical logic",
"PBCH","Set theory",
"PBCN","Number systems",
"PBD","Discrete mathematics",
"PBF","Algebra",
"PBG","Groups & group theory",
"PBH","Number theory",
"PBJ","Pre-calculus",
"PBK","Calculus & mathematical analysis",
"PBKA","Calculus",
"PBKB","Real analysis, real variables",
"PBKD","Complex analysis, complex variables",
"PBKF","Functional analysis & transforms",
"PBKJ","Differential calculus & equations",
"PBKL","Integral calculus & equations",
"PBKQ","Calculus of variations",
"PBKS","Numerical analysis",
"PBM","Geometry",
"PBMB","Trigonometry",
"PBMH","Euclidean geometry",
"PBML","Non-Euclidean geometry",
"PBMP","Differential & Riemannian geometry",
"PBMS","Analytic geometry",
"PBMW","Algebraic geometry",
"PBMX","Fractal geometry",
"PBP","Topology",
"PBPD","Algebraic topology",
"PBPH","Analytic topology",
"PBT","Probability & statistics",
"PBTB","Bayesian inference","New"
"PBU","Optimization",
"PBUD","Game theory",
"PBUH","Linear programming",
"PBV","Combinatorics & graph theory",
"PBW","Applied mathematics",
"PBWH","Mathematical modelling",
"PBWL","Stochastics",
"PBWR","Nonlinear science","Mod"
"PBWS","Chaos theory",
"PBWX","Fuzzy set theory",
"PBX","History of mathematics",
"PD","Science: general issues",
"PDA","Philosophy of science",
"PDC","Scientific nomenclature & classification",
"PDD","Scientific standards",
"PDDM","Mensuration & systems of measurement",
"PDE","Maths for scientists",
"PDG","Industrial applications of scientific research & technological innovation",
"PDK","Science funding & policy",
"PDN","Scientific equipment, experiments & techniques",
"PDND","Microscopy",
"PDR","Impact of science & technology on society",
"PDX","History of science",
"PDZ","Popular science",
"PDZM","Popular mathematics","New"
"PG","Astronomy, space & time",
"PGC","Theoretical & mathematical astronomy",
"PGG","Astronomical observation: observatories, equipment & methods",
"PGK","Cosmology & the universe",
"PGM","Galaxies & stars",
"PGS","Solar system: the Sun & planets",
"PGT","Astronomical charts & atlases",
"PGZ","Time (chronology), time systems & standards",
"PH","Physics",
"PHD","Classical mechanics",
"PHDB","Elementary mechanics",
"PHDD","Analytical mechanics",
"PHDF","Fluid mechanics",
"PHDS","Wave mechanics (vibration & acoustics)",
"PHDT","Dynamics & statics",
"PHDV","Gravity",
"PHDY","Energy",
"PHF","Materials / States of matter","Mod"
"PHFB","Low temperature physics",
"PHFC","Condensed matter physics (liquid state & solid state physics)",
"PHFC1","Soft matter physics","New"
"PHFC2","Mesoscopic physics","New"
"PHFG","Physics of gases",
"PHFP","Plasma physics",
"PHH","Thermodynamics & heat",
"PHJ","Optical physics","Mod"
"PHJL","Laser physics","New"
"PHK","Electricity, electromagnetism & magnetism",
"PHM","Atomic & molecular physics",
"PHN","Nuclear physics","Mod"
"PHP","Particle & high-energy physics",
"PHQ","Quantum physics (quantum mechanics & quantum field theory)",
"PHR","Relativity physics",
"PHS","Statistical physics",
"PHU","Mathematical physics",
"PHV","Applied physics",
"PHVB","Astrophysics",
"PHVD","Medical physics",
"PHVG","Geophysics",
"PHVJ","Atmospheric physics",
"PHVN","Biophysics",
"PHVQ","Chemical physics",
"PHVS","Cryogenics",
"PN","Chemistry",
"PNF","Analytical chemistry",
"PNFC","Chromatography",
"PNFR","Magnetic resonance",
"PNFS","Spectrum analysis, spectrochemistry, mass spectrometry",
"PNK","Inorganic chemistry",
"PNN","Organic chemistry",
"PNND","Organometallic chemistry",
"PNNP","Polymer chemistry",
"PNR","Physical chemistry",
"PNRC","Colloid chemistry",
"PNRD","Catalysis",
"PNRH","Electrochemistry & magnetochemistry",
"PNRL","Nuclear chemistry, photochemistry & radiation",
"PNRP","Quantum & theoretical chemistry",
"PNRS","Solid state chemistry",
"PNRW","Thermochemistry & chemical thermodynamics",
"PNRX","Surface chemistry & adsorption",
"PNT","Crystallography",
"PNV","Mineralogy & gems",
"PS","Biology, life sciences",
"PSA","Life sciences: general issues",
"PSAB","Taxonomy & systematics",
"PSAD","Bio-ethics",
"PSAF","Ecological science, the Biosphere",
"PSAG","Xenobiotics",
"PSAJ","Evolution",
"PSAK","Genetics (non-medical)",
"PSAK1","DNA & Genome",
"PSAN","Neurosciences",
"PSB","Biochemistry",
"PSBC","Proteins",
"PSBF","Carbohydrates",
"PSBH","Lipids",
"PSBM","Biochemical immunology",
"PSBT","Toxicology (non-medical)",
"PSBZ","Enzymology",
"PSC","Developmental biology",
"PSD","Molecular biology",
"PSF","Cellular biology (cytology)",
"PSG","Microbiology (non-medical)",
"PSGD","Bacteriology (non-medical)",
"PSGH","Parasitology (non-medical)",
"PSGL","Virology (non-medical)",
"PSGN","Protozoa",
"PSP","Hydrobiology",
"PSPF","Freshwater biology","Mod"
"PSPM","Marine biology",
"PSQ","Mycology, fungi (non-medical)",
"PST","Botany & plant sciences",
"PSTD","Plant physiology",
"PSTL","Plant reproduction & propagation",
"PSTP","Plant pathology & diseases",
"PSTS","Plant ecology",
"PSTV","Phycology, algae & lichens",
"PSV","Zoology & animal sciences",
"PSVD","Animal physiology",
"PSVH","Animal reproduction",
"PSVL","Animal pathology & diseases",
"PSVP","Animal behaviour",
"PSVS","Animal ecology",
"PSVT","Zoology: Invertebrates",
"PSVT3","Molluscs",
"PSVT5","Crustaceans",
"PSVT6","Arachnids",
"PSVT7","Insects (entomology)",
"PSVW","Zoology: Vertebrates",
"PSVW1","Fishes (ichthyology)",
"PSVW3","Amphibians",
"PSVW5","Reptiles",
"PSVW6","Birds (ornithology)",
"PSVW7","Zoology: Mammals",
"PSVW71","Marsupials & monotremes",
"PSVW73","Marine & freshwater mammals",
"PSVW79","Primates",
"PSX","Human biology",
"PSXE","Early man",
"PSXM","Medical anthropology",
"R","Earth sciences, geography, environment, planning",
"RB","Earth sciences",
"RBC","Volcanology & seismology",
"RBG","Geology & the lithosphere",
"RBGB","Soil science, sedimentology",
"RBGD","Geological surface processes (geomorphology)",
"RBGF","Historical geology",
"RBGG","Petrology",
"RBGH","Stratigraphy",
"RBGK","Geochemistry",
"RBGL","Economic geology",
"RBK","Hydrology & the hydrosphere",
"RBKC","Oceanography (seas)",
"RBKF","Limnology (freshwater)",
